Name,Legacy/M2M,Type,Zone,Region,State,Methasoft Version
! Corporate Dashboard (v7.1) - Legacy,Legacy,Dashboard,,,,7.1.4.3
! Corporate Dashboard (v7.8) - Legacy,Legacy,Dashboard,,,,7.8.0.4
! Corporate Dashboard (v8.1) - Legacy,Legacy,Dashboard,,,,8.1.3.0
Akron - Legacy,Legacy,Live,Coast to Coasties,Keystone Region,Ohio,8.1.3.0
Akron - M2M,M2M,Live,Coast to Coasties,Keystone Region,Ohio,8.1.3.0
Albuquerque North - Legacy,Legacy,Live,Coast to Coasties,West Region,New Mexico,8.1.3.0
Albuquerque North - M2M,M2M,Live,Coast to Coasties,West Region,New Mexico,8.1.3.0
Atlanta - Legacy,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Atlanta - M2M,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Augusta - Legacy,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Augusta - M2M,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Bay Area - Legacy,Legacy,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
Bay Area - M2M,M2M,Live,Coast to Coasties,Central Florida Region,Florida,8.1.3.0
Biloxi - Legacy,Legacy,Live,Treatment Titans,Gulf Region,Mississippi,8.1.3.0
Biloxi - M2M,M2M,Live,Treatment Titans,Gulf Region,Mississippi,8.1.3.0
Birmingham - Legacy,Legacy,Live,Treatment Titans,South Region,Alabama,8.1.3.0
Birmingham - M2M,M2M,Live,Treatment Titans,South Region,Alabama,8.1.3.0
Bountiful - Legacy,Legacy,Live,Coast to Coasties,West Region,Utah,8.1.3.0
Bountiful - M2M,M2M,Live,Coast to Coasties,West Region,Utah,8.1.3.0
Bradenton - M2M,M2M,Live,,,Florida,8.1.3.0
Brandon - Legacy,Legacy,Live,Coast to Coasties,,Florida,8.1.3.0
Brandon - M2M,M2M,Live,Coast to Coasties,,Florida,8.1.3.0
Broward - Legacy,Legacy,Live,Coast to Coasties,Mid Florida Region,Florida,8.1.3.0
Broward - M2M,M2M,Live,Coast to Coasties,Mid Florida Region,Florida,8.1.3.0
Cape Girardeau - Legacy,Legacy,Live,Coast to Coasties,Mid-West Region,Missouri,8.1.3.0
Cape Girardeau - M2M,M2M,Live,Coast to Coasties,Mid-West Region,Missouri,8.1.3.0
Central New Mexico - Legacy,Legacy,Live,Coast to Coasties,West Region,New Mexico,8.1.3.0
Central New Mexico - M2M,M2M,Live,Coast to Coasties,West Region,New Mexico,8.1.3.0
Charlotte - Legacy,Legacy,Live,Treatment Titans,Carolinas Region,North Carolina,8.1.3.0
Charlotte - M2M,M2M,Live,Treatment Titans,Carolinas Region,North Carolina,8.1.3.0
Columbia - Legacy,Legacy,Live,Treatment Titans,SouthEast,South Carolina,8.1.3.0
Columbia - M2M,M2M,Live,Treatment Titans,SouthEast,South Carolina,8.1.3.0
Columbus (Georgia) - Legacy,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Columbus (Georgia) - M2M,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Columbus West (Ohio) - Legacy,Legacy,Live,Coast to Coasties,Keystone Region,Ohio,8.1.3.0
Columbus West (Ohio) - M2M,M2M,Live,Coast to Coasties,Keystone Region,Ohio,8.1.3.0
Concord - Legacy,Legacy,Live,Coast to Coasties,Northeast Region,New Hampshire,8.1.3.0
Concord - M2M,M2M,Live,Coast to Coasties,Northeast Region,New Hampshire,8.1.3.0
Covington - Legacy,Legacy,Live,Coast to Coasties,Keystone Region,Kentucky,8.1.3.0
Covington - M2M,M2M,Live,Coast to Coasties,Keystone Region,Kentucky,8.1.3.0
Dakota - Legacy,Legacy,Live,Coast to Coasties,Mid-West Region,Minnesota,8.1.3.0
Dakota - M2M,M2M,Live,Coast to Coasties,Mid-West Region,Minnesota,8.1.3.0
Dallas - Legacy,Legacy,Live,Treatment Titans,Gulf Region,Texas,8.1.3.0
Dallas - M2M,M2M,Live,Treatment Titans,Gulf Region,Texas,8.1.3.0
Daytona - Legacy,Legacy,Live,Coast to Coasties,Mid Florida Region,Florida,8.1.3.0
Daytona - M2M,M2M,Live,Coast to Coasties,Mid Florida Region,Florida,8.1.3.0
Desoto (Walls) - Legacy,Legacy,Live,Treatment Titans,Gulf Region,Mississippi,8.1.3.0
Desoto (Walls) - M2M,M2M,Live,Treatment Titans,Gulf Region,Mississippi,8.1.3.0
Durham - Legacy,Legacy,Live,Treatment Titans,Carolinas Region,North Carolina,8.1.3.0
Durham - M2M,M2M,Live,Treatment Titans,Carolinas Region,North Carolina,8.1.3.0
Duval - Legacy,Legacy,Live,Treatment Titans,North Florida Region,Florida,8.1.3.0
Duval - M2M,M2M,Live,Treatment Titans,North Florida Region,Florida,8.1.3.0
Fayetteville - Legacy,Legacy,Live,Treatment Titans,Mid-Atlantic Region,North Carolina,8.1.3.0
Fayetteville - M2M,M2M,Live,Treatment Titans,Mid-Atlantic Region,North Carolina,8.1.3.0
Franklin - Legacy,Legacy,Live,Coast to Coasties,Northeast Region,New Hampshire,8.1.3.0
Franklin - M2M,M2M,Live,Coast to Coasties,Northeast Region,New Hampshire,8.1.3.0
Gastonia - Legacy,Legacy,Live,Treatment Titans,Carolinas Region,North Carolina,8.1.3.0
Gastonia - M2M,M2M,Live,Treatment Titans,Carolinas Region,North Carolina,8.1.3.0
Grand Junction - Legacy,Legacy,Live,Coast to Coasties,West Region,Colorado,8.1.3.0
Grand Junction - M2M,M2M,Live,Coast to Coasties,West Region,Colorado,8.1.3.0
