Name,Dropdown Name,URL,Legacy/M2M,Type,Zone,Region,State,Methasoft Version
! Corporate Dashboard - 7143,https://www.methasoft-support.net/Methasoft.Net.CMG.Corporate.7143,https://www.methasoft-support.net/Methasoft.Net.CMG.Corporate.7143,Legacy,Dashboard,,,,7.1.4.3
! Corporate Dashboard - 7804,https://www.Methasoft-Support.net/Methasoft.net.CMG.Corporate,https://www.Methasoft-Support.net/Methasoft.net.CMG.Corporate,Legacy,Dashboard,,,,7.8.0.4
! Corporate Dashboard - 8130,! Corporate Dashboard - 8130,https://www.Methasoft-support.Net/Methasoft.Net.CMG.Corporate.8130,Legacy,Dashboard,,,,8.1.3.0
Akron - Legacy,Akron - Legacy,https://CMG-Akr.netalytics-cloud.com/Methasoft.Net.CMG.Akron,Legacy,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Akron - M2M,Akron - M2M,https://NS-Akr.netalytics-cloud.com/Methasoft.Net.NewSeason.Akron,M2M,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Albuquerque North - Legacy,Albuquerque North - Legacy,https://CMG-AlbuNorth.netalytics-cloud.com/Methasoft.Net.CMG.AlbuquerqueNorth,Legacy,Live,Coast to Coasties,West,New Mexico,8.1.3.0
Albuquerque North - M2M,Albuquerque North - M2M,https://NS-AlbuNorth.netalytics-cloud.com/Methasoft.Net.NewSeason.AlbuquerqueNorth,M2M,Live,Coast to Coasties,West,New Mexico,8.1.3.0
Atlanta - Legacy,Atlanta - Legacy,https://cmg-atl.netalytics-cloud.com/Methasoft.Net.CMG.Atlanta,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Atlanta - M2M,Atlanta - M2M,https://NS-atl.netalytics-cloud.com/Methasoft.Net.NewSeason.Atlanta,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Augusta - Legacy,Augusta - Legacy,https://cmg-aug.netalytics-cloud.com/Methasoft.Net.CMG.Augusta,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Augusta - M2M,Augusta - M2M,https://NS-aug.netalytics-cloud.com/Methasoft.Net.NewSeason.Augusta,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Bay Area - Legacy,Bay Area - Legacy,https://cmg-BayArea.netalytics-cloud.com/Methasoft.Net.CMG.BayArea,Legacy,Live,Coast to Coasties,Central Florida,Florida,8.1.3.0
Bay Area - M2M,Bay Area - M2M,https://NS-BayArea.netalytics-cloud.com/Methasoft.Net.NewSeason.BayArea,M2M,Live,Coast to Coasties,Central Florida,Florida,8.1.3.0
Biloxi - Legacy,Biloxi - Legacy,https://cmg-bil.netalytics-cloud.com/Methasoft.Net.CMG.Biloxi,Legacy,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Biloxi - M2M,Biloxi - M2M,https://NS-bil.netalytics-cloud.com/Methasoft.Net.NewSeason.Biloxi,M2M,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Birmingham - Legacy,Birmingham - Legacy,https://cmg-bir.netalytics-cloud.com/Methasoft.Net.CMG.Birmingham,Legacy,Live,Treatment Titans,South,Alabama,8.1.3.0
Birmingham - M2M,Birmingham - M2M,https://NS-bir.netalytics-cloud.com/Methasoft.Net.NewSeason.Birmingham,M2M,Live,Treatment Titans,South,Alabama,8.1.3.0
Bountiful - Legacy,Bountiful - Legacy,https://cmg-bount.netalytics-cloud.com/methasoft.net.CMG.Bountiful,Legacy,Live,Coast to Coasties,West,Utah,8.1.3.0
Bountiful - M2M,Bountiful - M2M,https://NS-bount.netalytics-cloud.com/methasoft.net.NewSeason.Bountiful,M2M,Live,Coast to Coasties,West,Utah,8.1.3.0
Bradenton - M2M,Bradenton - M2M,https://NS-Brad.netalytics-cloud.com/Methasoft.Net.NewSeason.Bradenton,M2M,Live,,,Florida,8.1.3.0
Brandon - Legacy,Brandon - Legacy,https://CMG-BR.netalytics-cloud.com/Methasoft.Net.CMG.Brandon,Legacy,Live,Coast to Coasties,,Florida,8.1.3.0
Brandon - M2M,Brandon - M2M,https://NS-BR.netalytics-cloud.com/Methasoft.Net.NewSeason.Brandon,M2M,Live,Coast to Coasties,,Florida,8.1.3.0
Broward - Legacy,Broward - Legacy,https://cmg-bro.netalytics-cloud.com/Methasoft.Net.CMG.Broward,Legacy,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
